"clade","count","freq","season","region"
"c3a",93,0.118925831202046,"2016-17","Northeastern US"
"c2a",2,0.00255754475703325,"2016-17","Northeastern US"
"A1",44,0.0562659846547315,"2016-17","Northeastern US"
"A1_2",277,0.354219948849105,"2016-17","Northeastern US"
"A1_3",154,0.19693094629156,"2016-17","Northeastern US"
"A2",11,0.0140664961636829,"2016-17","Northeastern US"
"A2_2",155,0.198209718670077,"2016-17","Northeastern US"
"A3",46,0.0588235294117647,"2016-17","Northeastern US"
"c3a",68,0.100591715976331,"2017-18","Northeastern US"
"A1_2",11,0.0162721893491124,"2017-18","Northeastern US"
"A1_3",59,0.0872781065088757,"2017-18","Northeastern US"
"A2_2",537,0.794378698224852,"2017-18","Northeastern US"
"A3",1,0.0014792899408284,"2017-18","Northeastern US"
"c3a",256,0.0690585379012679,"2016-17","United States"
"c2a",4,0.00107903965470731,"2016-17","United States"
"A1",267,0.072025896951713,"2016-17","United States"
"A1_2",1113,0.300242783922309,"2016-17","United States"
"A1_3",989,0.266792554626383,"2016-17","United States"
"A2",22,0.00593471810089021,"2016-17","United States"
"A2_2",786,0.212031292149987,"2016-17","United States"
"A3",270,0.0728351766927435,"2016-17","United States"
"c3a",299,0.0790586991010048,"2017-18","United States"
"A1_2",59,0.0156002115282919,"2017-18","United States"
"A1_3",209,0.0552617662612374,"2017-18","United States"
"A2_2",3207,0.847964040190375,"2017-18","United States"
"A3",8,0.00211528291909043,"2017-18","United States"
"c3a",284,0.0632798573975045,"2016-17","North America"
"c2a",4,0.00089126559714795,"2016-17","North America"
"A1",311,0.0692959001782531,"2016-17","North America"
"A1_2",1497,0.33355614973262,"2016-17","North America"
"A1_3",1138,0.253565062388592,"2016-17","North America"
"A2",26,0.00579322638146168,"2016-17","North America"
"A2_2",928,0.206773618538324,"2016-17","North America"
"A3",300,0.0668449197860963,"2016-17","North America"
"c3a",428,0.0788940092165899,"2017-18","North America"
"A1_2",70,0.0129032258064516,"2017-18","North America"
"A1_3",309,0.0569585253456221,"2017-18","North America"
"A2_2",4609,0.849585253456221,"2017-18","North America"
"A3",9,0.00165898617511521,"2017-18","North America"
